model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetTorch_r197_BAG_L2,0.6007971392386202,balanced_accuracy,14.938337564468384,820.8981297016144,0.5159280300140381,16.462590217590332,2,True,161
WeightedEnsemble_L3,0.6007971392386202,balanced_accuracy,14.940098762512207,823.7648465633392,0.0017611980438232422,2.8667168617248535,3,True,170
NeuralNetTorch_r14_BAG_L2,0.5742362522748801,balanced_accuracy,14.91750693321228,839.2048954963684,0.49509739875793457,34.76935601234436,2,True,146
NeuralNetTorch_BAG_L2,0.5543911392315252,balanced_accuracy,14.947019815444946,866.0834074020386,0.5246102809906006,61.647867918014526,2,True,119
NeuralNetTorch_BAG_L1,0.5496194343043035,balanced_accuracy,0.12069034576416016,85.74526190757751,0.12069034576416016,85.74526190757751,1,True,10
WeightedEnsemble_L2,0.5496194343043035,balanced_accuracy,0.12282538414001465,88.7728910446167,0.002135038375854492,3.0276291370391846,2,True,109
NeuralNetTorch_r86_BAG_L2,0.5480875487347587,balanced_accuracy,14.963674783706665,947.4616603851318,0.5412652492523193,143.0261209011078,2,True,139
NeuralNetTorch_r71_BAG_L1,0.5456315208792301,balanced_accuracy,0.11046123504638672,52.105705976486206,0.11046123504638672,52.105705976486206,1,True,71
NeuralNetTorch_r14_BAG_L1,0.5430770479241388,balanced_accuracy,0.10693669319152832,50.23394203186035,0.10693669319152832,50.23394203186035,1,True,37
NeuralNetTorch_r158_BAG_L2,0.5346333851278722,balanced_accuracy,14.98052978515625,825.4248814582825,0.5581202507019043,20.989341974258423,2,True,158
NeuralNetTorch_r86_BAG_L1,0.5319217104259569,balanced_accuracy,0.13776779174804688,57.655364751815796,0.13776779174804688,57.655364751815796,1,True,30
NeuralNetTorch_r22_BAG_L2,0.5264719759616578,balanced_accuracy,14.964297533035278,884.0182821750641,0.5418879985809326,79.58274269104004,2,True,127
NeuralNetTorch_r197_BAG_L1,0.5252183530046154,balanced_accuracy,0.12249946594238281,18.31533408164978,0.12249946594238281,18.31533408164978,1,True,52
NeuralNetTorch_r19_BAG_L1,0.5192271704927222,balanced_accuracy,0.11089491844177246,60.5756139755249,0.11089491844177246,60.5756139755249,1,True,103
NeuralNetTorch_r22_BAG_L1,0.517789517281993,balanced_accuracy,0.15746164321899414,99.13915801048279,0.15746164321899414,99.13915801048279,1,True,18
NeuralNetFastAI_r156_BAG_L2,0.5166276877285966,balanced_accuracy,14.569896697998047,814.4471936225891,0.14748716354370117,10.011654138565063,2,True,150
NeuralNetFastAI_r100_BAG_L1,0.5068452602675578,balanced_accuracy,0.22463035583496094,27.07181692123413,0.22463035583496094,27.07181692123413,1,True,99
NeuralNetTorch_r79_BAG_L1,0.506641496649319,balanced_accuracy,0.13108468055725098,56.6167938709259,0.13108468055725098,56.6167938709259,1,True,13
NeuralNetFastAI_r134_BAG_L2,0.5064430543878133,balanced_accuracy,14.707564353942871,828.8457746505737,0.2851548194885254,24.410235166549683,2,True,166
XGBoost_BAG_L1,0.5052985192437998,balanced_accuracy,0.10666847229003906,1.254979133605957,0.10666847229003906,1.254979133605957,1,True,9
NeuralNetFastAI_r103_BAG_L2,0.5052264592047054,balanced_accuracy,14.613110303878784,824.2238404750824,0.19070076942443848,19.78830099105835,2,True,145
