,age,mean_sbp,mean_dbp,hba1c,total_chol,hdl_c,bmxwaist,bmxbmi,alcohol_drinks_per_day,creatinine,wbc,pir,htn_med,phys_active,diabetes_sr,chd_sr
age,0.0,0.04525226261617987,-0.009440836426252132,0.04040821499641367,0.02701882445215624,0.02368203071324458,0.004071803084591541,-0.005957528442358986,-0.06285801449397599,0.029212044201944676,-0.0080501993982392,-0.0018596811453066298,0.03659998483628768,0.0010965827526757121,0.000566208316612471,0.009514709057371229
mean_sbp,0.04525226261617987,0.0,-0.02212531517896943,0.057189363949334604,0.026191810831804427,0.018016484919070937,0.009515341580920544,-0.0023825320697957453,-0.030540090241627425,0.04423581615623132,-0.004646606768880986,-0.006745687460727165,0.04228831758741047,-0.019630462045857416,0.011111040247527043,0.01614611519006731
mean_dbp,-0.009440836426252132,-0.02212531517896943,0.0,0.008355582300317466,0.02723492829194174,-0.01204393550758577,0.00355891444674733,0.00614829902151956,0.02097133204540759,0.004780661960793325,-0.002317529654413698,0.005291341568044547,0.021302646087677075,0.011192688192422723,-0.008158146065277906,-0.013781834730535347
hba1c,0.04040821499641367,0.057189363949334604,0.008355582300317466,0.0,0.007428053667691427,0.0004623360814185462,0.027951073492206102,0.012393541970251554,-0.021418348024946632,0.03528176468917982,-0.0022980126810853985,-0.021442132104235484,0.036963347355166876,-0.007057124569156581,0.014080928472219367,0.014395350010519753
total_chol,0.02701882445215624,0.026191810831804427,0.02723492829194174,0.007428053667691427,0.0,0.017853818410437206,-0.009038602555474298,-0.006675654909183797,0.010336692218597357,-0.011947807563379237,-0.007340846684445542,0.004981770965228373,-0.030967787059045737,-0.01717327745696862,-0.023006819333629747,-0.025844226983949378
hdl_c,0.02368203071324458,0.018016484919070937,-0.01204393550758577,0.0004623360814185462,0.017853818410437206,0.0,-0.02324757994788501,-0.009810276885941771,-0.049470481190890925,-0.020374006683085144,0.0038311951889542784,0.009702426119770485,0.010678341910107018,-0.022459164893485734,-0.010772832804258503,-0.004185006115342296
bmxwaist,0.004071803084591541,0.009515341580920544,0.00355891444674733,0.027951073492206102,-0.009038602555474298,-0.02324757994788501,0.0,-0.004646736077716929,0.014813672222185575,0.020512074217021586,0.006496503542126358,-0.00666736334281302,0.02789174238184411,-0.008567845411773543,0.013883024194661808,0.005640651390688214
bmxbmi,-0.005957528442358986,-0.0023825320697957453,0.00614829902151956,0.012393541970251554,-0.006675654909183797,-0.009810276885941771,-0.004646736077716929,0.0,0.006768336757878001,-0.0037525281158149633,0.012775215030011278,-0.005855267661237763,0.0174520652678051,-0.0022266348720758958,0.007548411392595378,-0.0007630192093931801
alcohol_drinks_per_day,-0.06285801449397599,-0.030540090241627425,0.02097133204540759,-0.021418348024946632,0.010336692218597357,-0.049470481190890925,0.014813672222185575,0.006768336757878001,0.0,0.007112543854899234,0.030353973313366422,-0.05642611670748206,-0.017995122457447416,-0.04631397909672168,-0.00321491570840024,-0.007459202702164554
creatinine,0.029212044201944676,0.04423581615623132,0.004780661960793325,0.03528176468917982,-0.011947807563379237,-0.020374006683085144,0.020512074217021586,-0.0037525281158149633,0.007112543854899234,0.0,0.0031387473989764256,-0.008485885812469979,0.032845340538266765,-0.016240090612474996,0.026533982464278835,0.01923637802138245
wbc,-0.0080501993982392,-0.004646606768880986,-0.002317529654413698,-0.0022980126810853985,-0.007340846684445542,0.0038311951889542784,0.006496503542126358,0.012775215030011278,0.030353973313366422,0.0031387473989764256,0.0,-0.009508623974639377,-0.002289483346612879,-0.007922870862818739,0.005457424569625655,0.006181763118549687
pir,-0.0018596811453066298,-0.006745687460727165,0.005291341568044547,-0.021442132104235484,0.004981770965228373,0.009702426119770485,-0.00666736334281302,-0.005855267661237763,-0.05642611670748206,-0.008485885812469979,-0.009508623974639377,0.0,0.0049724030771590814,0.0022540061734034195,0.0006363402052086062,-0.003237453502212934
htn_med,0.03659998483628768,0.04228831758741047,0.021302646087677075,0.036963347355166876,-0.030967787059045737,0.010678341910107018,0.02789174238184411,0.0174520652678051,-0.017995122457447416,0.032845340538266765,-0.002289483346612879,0.0049724030771590814,0.0,0.021076608518858744,0.01052218401124605,0.01468558036786427
phys_active,0.0010965827526757121,-0.019630462045857416,0.011192688192422723,-0.007057124569156581,-0.01717327745696862,-0.022459164893485734,-0.008567845411773543,-0.0022266348720758958,-0.04631397909672168,-0.016240090612474996,-0.007922870862818739,0.0022540061734034195,0.021076608518858744,0.0,-6.0615164399785426e-05,-0.004772828544290911
diabetes_sr,0.000566208316612471,0.011111040247527043,-0.008158146065277906,0.014080928472219367,-0.023006819333629747,-0.010772832804258503,0.013883024194661808,0.007548411392595378,-0.00321491570840024,0.026533982464278835,0.005457424569625655,0.0006363402052086062,0.01052218401124605,-6.0615164399785426e-05,0.0,0.0056548867499846
chd_sr,0.009514709057371229,0.01614611519006731,-0.013781834730535347,0.014395350010519753,-0.025844226983949378,-0.004185006115342296,0.005640651390688214,-0.0007630192093931801,-0.007459202702164554,0.01923637802138245,0.006181763118549687,-0.003237453502212934,0.01468558036786427,-0.004772828544290911,0.0056548867499846,0.0
