fold,auroc,balanced_accuracy
1,0.8129413204386242,0.6994512544646403
2,0.8037783863818362,0.5
3,0.7854854372753368,0.5
4,0.786412715610551,0.6661107409710678
5,0.7907886830209631,0.6742527236940328
6,0.7937005186174875,0.6567366958906344
7,0.8053069733191448,0.6177502148680842
8,0.8008437642455213,0.7183496270491188
9,0.7867100601201258,0.6654539709983548
10,0.7958485521923008,0.638724092256616
11,0.8016984060759899,0.7002320074368331
12,0.778619319592749,0.6401807611303815
13,0.7940755090459284,0.6422392725185688
14,0.7711463471710049,0.6759977142758999
15,0.8071866913308526,0.5
16,0.7931552081089533,0.7328271916723499
17,0.7901314899643544,0.689929968390597
18,0.7708906881432178,0.5
19,0.7910113577730722,0.5
20,0.7954567513213466,0.6482848542201022
21,0.7907637495894069,0.6481564640406363
22,0.8018687261560834,0.5
23,0.7945190211032305,0.6379655266432847
24,0.7918951615500273,0.6691233668415429
25,0.7877033403700483,0.5
