variable,mean_abs_shap
age,0.04420281231058308
htn_med,0.027480961807988983
creatinine,0.01938402636864011
chd_sr,0.017102485871541243
diabetes_sr,0.015422160384460957
race_eth,0.013873496822116247
pir,0.013825395421961978
smoking,0.01299163750692366
bmxbmi,0.011062547265648861
total_chol,0.009988189755595222
sex,0.009454080841259186
education,0.009099027703816095
alcohol_drinks_per_day,0.006366269910857356
phys_active,0.00572781760850432
mean_sbp,0.005108256873650111
bmxwaist,0.004596567708270233
hba1c,0.0038681870533814103
wbc,0.00328921023337086
mean_dbp,0.0032354595191309257
hdl_c,0.002772373962375417
