"","level","Overall","No Stroke","Stroke","p","test","SMD","Missing"
"n","","224312602.09","217593208.26","6719393.83","","","","    "
"age (mean (SD))","","       47.43 (17.09)","       46.89 (16.90)","     64.76 (13.80)","<0.001",""," 1.158"," 0.0"
"sex (%)","Female"," 116371147.8 (51.9) "," 112625099.9 (51.8) "," 3746047.9 (55.7) "," 0.007",""," 0.080"," 0.0"
"","Male"," 107941454.3 (48.1) "," 104968108.3 (48.2) "," 2973345.9 (44.3) ","","","","    "
"race_eth (%)","NH White"," 148964792.8 (66.4) "," 144364101.7 (66.3) "," 4600691.1 (68.5) ","<0.001",""," 0.214"," 0.0"
"","Mexican American","  18524241.1 ( 8.3) ","  18223240.2 ( 8.4) ","  301000.9 ( 4.5) ","","","","    "
"","NH Black","  25469653.1 (11.4) ","  24446833.8 (11.2) "," 1022819.4 (15.2) ","","","","    "
"","Other Hispanic","  13156061.6 ( 5.9) ","  12897539.8 ( 5.9) ","  258521.8 ( 3.8) ","","","","    "
"","Other/Multi","  18197853.6 ( 8.1) ","  17661492.8 ( 8.1) ","  536360.8 ( 8.0) ","","","","    "
"mean_sbp (median [IQR])","","      119.00 [110.00, 131.00]","      119.00 [110.00, 130.00]","    129.00 [115.00, 143.00]","<0.001","nonnorm"," 0.467","12.5"
"mean_dbp (mean (SD))","","       71.47 (11.49)","       71.49 (11.41)","     70.48 (13.78)"," 0.026",""," 0.080","12.8"
"htn_med (%)","0"," 160540514.9 (78.0) "," 158415315.5 (79.2) "," 2125199.4 (36.7) ","<0.001",""," 0.955"," 9.7"
"","1","  45155337.6 (22.0) ","  41488091.0 (20.8) "," 3667246.6 (63.3) ","","","","    "
"hba1c (median [IQR])","","        5.40 [5.20, 5.80]","        5.40 [5.20, 5.70]","      5.80 [5.40, 6.30]","<0.001","nonnorm"," 0.436","20.1"
"total_chol (mean (SD))","","      193.26 (41.71)","      193.54 (41.56)","    184.11 (45.33)","<0.001",""," 0.217","21.3"
"hdl_c (median [IQR])","","       51.00 [42.00, 62.00]","       51.00 [42.00, 62.00]","     50.00 [41.00, 62.00]"," 0.002","nonnorm"," 0.072","21.3"
"smoking (%)","Current","  45093435.2 (20.1) ","  43477024.2 (20.0) "," 1616411.0 (24.1) ","<0.001",""," 0.302"," 0.1"
"","Former","  54634076.9 (24.4) ","  52312488.3 (24.1) "," 2321588.6 (34.6) ","","","","    "
"","Never"," 124467672.9 (55.5) "," 121688476.1 (56.0) "," 2779196.8 (41.4) ","","","","    "
"bmxwaist (mean (SD))","","       99.04 (16.47)","       98.90 (16.45)","    104.11 (16.38)","<0.001",""," 0.317","12.3"
"bmxbmi (median [IQR])","","       27.86 [24.18, 32.50]","       27.80 [24.13, 32.44]","     29.00 [25.07, 33.80]","<0.001","nonnorm"," 0.133"," 8.3"
"alcohol_drinks_per_day (median [IQR])","","        2.00 [1.00, 3.00]","        2.00 [1.00, 3.00]","      1.00 [0.00, 2.00]","<0.001","nonnorm"," 0.263","34.7"
"phys_active (%)","0","  93281818.5 (41.6) ","  89272162.4 (41.0) "," 4009656.1 (59.7) ","<0.001",""," 0.379"," 0.0"
"","1"," 131007229.7 (58.4) "," 128297492.0 (59.0) "," 2709737.8 (40.3) ","","","","    "
"triglycerides (median [IQR])","","      103.00 [72.00, 152.00]","      103.00 [71.00, 152.00]","    113.42 [81.00, 167.00]","<0.001","nonnorm"," 0.104","57.4"
"creatinine (median [IQR])","","        0.85 [0.72, 1.00]","        0.85 [0.72, 1.00]","      0.97 [0.79, 1.20]","<0.001","nonnorm"," 0.360","13.2"
"wbc (median [IQR])","","        6.90 [5.70, 8.40]","        6.90 [5.70, 8.40]","      7.20 [5.90, 8.70]","<0.001","nonnorm"," 0.114","11.4"
"education (%)","College+","  65256546.0 (29.1) ","  64098532.4 (29.5) "," 1158013.6 (17.3) ","<0.001",""," 0.409"," 0.2"
"","HS/GED","  53917826.7 (24.1) ","  51860065.0 (23.9) "," 2057761.7 (30.7) ","","","","    "
"","Less than HS","  35408398.9 (15.8) ","  33581615.8 (15.4) "," 1826783.1 (27.2) ","","","","    "
"","Some college","  69554272.7 (31.0) ","  67885175.5 (31.2) "," 1669097.1 (24.9) ","","","","    "
"pir (mean (SD))","","        2.99 (1.64)","        3.01 (1.64)","      2.35 (1.49)","<0.001",""," 0.426","10.3"
"sleep_hrs (mean (SD))","","        7.67 (1.49)","        7.66 (1.47)","      8.00 (2.04)"," 0.001",""," 0.193","64.1"
"diabetes_sr (%)","0"," 202558242.2 (90.3) "," 197917680.9 (91.0) "," 4640561.4 (69.1) ","<0.001",""," 0.569"," 0.1"
"","1","  21646143.9 ( 9.7) ","  19575688.5 ( 9.0) "," 2070455.4 (30.9) ","","","","    "
"chd_sr (%)","0"," 215762840.8 (96.4) "," 210368249.8 (96.9) "," 5394591.1 (81.2) ","<0.001",""," 0.518"," 0.4"
"","1","   7990056.3 ( 3.6) ","   6744704.5 ( 3.1) "," 1245351.7 (18.8) ","","","","    "
